1	0.5448	0.5448	0.5806	0.5684
2	0.554	0.5519	0.6032	0.5921
3	0.551	0.5485	0.5949	0.5736
4	0.559	0.5564	0.5642	0.5548
5	0.553	0.5511	0.5775	0.5624
6	0.5678	0.5646	0.5736	0.5409
7	0.5621	0.5605	0.5429	0.5375
8	0.556	0.553	0.5382	0.5089
9	0.5582	0.5557	0.538	0.4989
10	0.5538	0.55	0.5343	0.5167
11	0.5579	0.5552	0.5242	0.5266
12	0.5642	0.5599	0.487	0.4873
13	0.5594	0.5562	0.4531	0.4852
14	0.5678	0.5619	0.4745	0.4744
15	0.5659	0.5628	0.3953	0.4038
16	0.5549	0.5514	0.43	0.442
17	0.5594	0.5548	0.3895	0.4561
18	0.5662	0.563	0.4385	0.4129
19	0.5644	0.5608	0.3995	0.4484
20	0.564	0.5604	0.4216	0.3575
