1	0.9091	0.9404	0.7764	0.7738
2	0.8497	0.866	0.7701	0.7659
3	0.8637	0.8644	0.757	0.7557
4	0.863	0.8609	0.7473	0.7472
5	0.8618	0.8575	0.7384	0.7397
6	0.8617	0.8571	0.7302	0.7321
7	0.8572	0.853	0.7253	0.7272
8	0.8528	0.8488	0.7208	0.7229
9	0.8494	0.8449	0.7172	0.7203
10	0.8467	0.8423	0.7134	0.7167
11	0.8434	0.8383	0.7105	0.715
12	0.8414	0.8363	0.7064	0.7114
13	0.8387	0.8336	0.7046	0.7101
14	0.8352	0.8304	0.7029	0.7084
15	0.8343	0.8295	0.6986	0.7045
16	0.832	0.8273	0.6977	0.7039
17	0.8305	0.8258	0.695	0.7017
18	0.8283	0.8236	0.6941	0.7013
19	0.8255	0.821	0.6951	0.7022
20	0.8243	0.8197	0.6934	0.7012
