1	0.9687	0.9623	0.7722	0.7762
2	0.9127	0.906	0.7698	0.774
3	0.8799	0.8865	0.7646	0.7684
4	0.8804	0.8921	0.754	0.7566
5	0.8602	0.8696	0.7493	0.7518
6	0.8568	0.8642	0.7433	0.7461
7	0.8443	0.8522	0.7415	0.7437
8	0.8421	0.8497	0.7362	0.7383
9	0.8359	0.843	0.7341	0.7361
10	0.8332	0.8397	0.7301	0.7322
11	0.833	0.8396	0.725	0.7269
12	0.8307	0.8364	0.7217	0.7241
13	0.8294	0.8349	0.7184	0.7209
14	0.826	0.8311	0.7165	0.7193
15	0.8248	0.8294	0.7132	0.7164
16	0.8234	0.8277	0.7103	0.7137
17	0.8188	0.8238	0.7118	0.7144
18	0.8172	0.8213	0.7094	0.7131
19	0.8141	0.8191	0.7092	0.7116
20	0.813	0.8184	0.707	0.7088
