1	0.9091	0.9549	0.7764	0.7809
2	0.8497	0.8794	0.7701	0.7723
3	0.8637	0.8758	0.757	0.762
4	0.863	0.8716	0.7473	0.7532
5	0.8618	0.8677	0.7384	0.7457
6	0.8617	0.8669	0.7302	0.7381
7	0.8572	0.8626	0.7253	0.7331
8	0.8528	0.8582	0.7208	0.7288
9	0.8494	0.8542	0.7172	0.726
10	0.8467	0.8513	0.7134	0.7225
11	0.8434	0.8471	0.7105	0.7209
12	0.8414	0.845	0.7064	0.7173
13	0.8387	0.8421	0.7046	0.7161
14	0.8352	0.839	0.7029	0.7142
15	0.8343	0.838	0.6986	0.7105
16	0.832	0.8357	0.6977	0.7099
17	0.8305	0.8342	0.695	0.7076
18	0.8283	0.8318	0.6941	0.7074
19	0.8255	0.8293	0.6951	0.7081
20	0.8243	0.8279	0.6934	0.7072
