1	0.9687	0.9807	0.7722	0.7704
2	0.9127	0.9012	0.7698	0.7682
3	0.8799	0.8781	0.7646	0.7628
4	0.8804	0.883	0.754	0.7515
5	0.8602	0.8612	0.7493	0.7468
6	0.8568	0.8562	0.7433	0.7411
7	0.8443	0.8446	0.7415	0.7388
8	0.8421	0.8415	0.7362	0.7338
9	0.8359	0.8355	0.7341	0.7315
10	0.8332	0.8324	0.7301	0.7276
11	0.833	0.8325	0.725	0.7222
12	0.8307	0.8294	0.7217	0.7195
13	0.8294	0.8281	0.7184	0.7162
14	0.826	0.8244	0.7165	0.7145
15	0.8248	0.8232	0.7132	0.7112
16	0.8234	0.8217	0.7103	0.7083
17	0.8188	0.8181	0.7118	0.7086
18	0.8172	0.816	0.7094	0.7068
19	0.8141	0.8137	0.7092	0.7053
20	0.813	0.8129	0.707	0.7026
